商品名称:铜                  ,合约代码:cuall                         ,,,,,,,,,
,期货公司  ,期货公司  ,239630,-67595,期货公司  ,期货公司  ,267360,4217,期货公司  ,期货公司  ,275383,4149,
商品名称:铜                  ,合约代码:cuall                         ,,,,,,,,,
,非期货公司,非期货公司,2904,-513,非期货公司,非期货公司,12300,-372,非期货公司,非期货公司,4277,-304,
RANK1合约代码:cu1910                        ,,,,,,,,,,
1,0009      ,五矿经易  ,970,-4125,0004      ,国泰君安  ,1615,350,0049      ,金瑞期货  ,3075,-40,
2,0081      ,海通期货  ,820,365,0081      ,海通期货  ,1150,285,0315      ,云晨期货  ,600,410,
3,0308      ,国信期货  ,600,600,0308      ,国信期货  ,1000,600,0121      ,格林大华  ,410,0,
4,0004      ,国泰君安  ,590,-1435,0034      ,方正中期  ,810,-235,0169      ,兴业期货  ,255,-5,
5,0148      ,中信期货  ,555,-1240,0177      ,大地期货  ,440,90,0148      ,中信期货  ,230,-405,
6,0034      ,方正中期  ,540,-565,0372      ,中银国际  ,200,45,0277      ,一德期货  ,220,-105,
7,0315      ,云晨期货  ,410,215,0240      ,广发期货  ,110,30,0163      ,东证期货  ,170,0,
8,0372      ,中银国际  ,345,-155,0003      ,建信期货  ,80,20,0139      ,中粮期货  ,140,75,
9,0049      ,金瑞期货  ,245,-830,0163      ,东证期货  ,70,0,0009      ,五矿经易  ,135,-735,
10,0277      ,一德期货  ,205,-185,0268      ,中信建投  ,65,60,0003      ,建信期货  ,40,-60,
11,0008      ,上海中期  ,200,65,0125      ,中大期货  ,60,0,0123      ,浙商期货  ,40,0,
12,0082      ,国投安信  ,170,35,0148      ,中信期货  ,55,-70,0240      ,广发期货  ,25,5,
13,0007      ,东海期货  ,155,-310,0028      ,通惠期货  ,40,40,0058      ,国贸期货  ,5,5,
14,0031      ,中航期货  ,150,130,0259      ,华闻期货  ,25,0,0159      ,倍特期货  ,5,0,
15,0139      ,中粮期货  ,145,85,0169      ,兴业期货  ,20,20,,,,,
16,0240      ,广发期货  ,145,-110,0073      ,东华期货  ,5,5,,,,,
17,0003      ,建信期货  ,140,-1095,0272      ,银河期货  ,5,-25,,,,,
18,0051      ,华金期货  ,120,-20,,,,,,,,,
19,0103      ,永安期货  ,115,-480,,,,,,,,,
20,0058      ,国贸期货  ,105,-690,,,,,,,,,
合计:cu1910                        ,,,6725,-9745,,,5750,1215,,,5350,-855,
RANK1合约代码:cu1911                        ,,,,,,,,,,
1,0253      ,华泰期货  ,13172,-5698,0049      ,金瑞期货  ,10462,-258,0009      ,五矿经易  ,11025,-100,
2,0163      ,东证期货  ,6893,124,0315      ,云晨期货  ,6927,-143,0081      ,海通期货  ,6017,242,
3,0009      ,五矿经易  ,3929,-3560,0103      ,永安期货  ,4527,-274,0148      ,中信期货  ,5393,-1150,
4,0148      ,中信期货  ,3792,-1046,0009      ,五矿经易  ,3987,125,0049      ,金瑞期货  ,5220,423,
5,0082      ,国投安信  ,3309,181,0003      ,建信期货  ,3840,-46,0103      ,永安期货  ,5136,-25,
6,0081      ,海通期货  ,3143,259,0058      ,国贸期货  ,3741,612,0299      ,华安期货  ,3932,-122,
7,0320      ,大有期货  ,3064,410,0148      ,中信期货  ,3279,-652,0082      ,国投安信  ,3881,-860,
8,0308      ,国信期货  ,2883,1106,0253      ,华泰期货  ,2996,-276,0058      ,国贸期货  ,3704,727,
9,0058      ,国贸期货  ,2395,-335,0025      ,铜冠金源  ,2521,282,0003      ,建信期货  ,3573,-92,
10,0025      ,铜冠金源  ,1968,-679,0081      ,海通期货  ,1954,279,0240      ,广发期货  ,2785,-527,
11,0049      ,金瑞期货  ,1939,-436,0069      ,申万期货  ,1732,-100,0139      ,中粮期货  ,2438,-116,
12,0299      ,华安期货  ,1843,-192,0169      ,兴业期货  ,1672,4,0121      ,格林大华  ,2273,227,
13,0272      ,银河期货  ,1596,-163,0277      ,一德期货  ,1626,168,0004      ,国泰君安  ,2098,288,
14,0004      ,国泰君安  ,1346,-142,0034      ,方正中期  ,1507,-43,0372      ,中银国际  ,2017,158,
15,0372      ,中银国际  ,1307,-173,0178      ,弘业期货  ,1404,23,0169      ,兴业期货  ,1763,-265,
16,0096      ,南华期货  ,1293,-1214,0272      ,银河期货  ,1347,18,0275      ,鲁证期货  ,1704,16,
17,0103      ,永安期货  ,1161,5,0067      ,中财期货  ,1328,0,0047      ,迈科期货  ,1695,107,
18,0003      ,建信期货  ,1072,-543,0096      ,南华期货  ,1328,58,0272      ,银河期货  ,1643,-848,
19,0240      ,广发期货  ,1061,35,0004      ,国泰君安  ,1178,-150,0308      ,国信期货  ,1642,1109,
20,0277      ,一德期货  ,1060,299,0268      ,中信建投  ,1161,-33,0277      ,一德期货  ,1316,164,
合计:cu1911                        ,,,58226,-11762,,,58517,-406,,,69255,-644,
RANK1合约代码:cu1912                        ,,,,,,,,,,
1,0253      ,华泰期货  ,18345,-5585,0049      ,金瑞期货  ,9704,-206,0148      ,中信期货  ,15329,493,
2,0163      ,东证期货  ,11345,-4984,0004      ,国泰君安  ,7468,-496,0004      ,国泰君安  ,7457,-193,
3,0148      ,中信期货  ,7723,-977,0148      ,中信期货  ,6164,186,0082      ,国投安信  ,5961,303,
4,0009      ,五矿经易  ,5954,-1198,0103      ,永安期货  ,6133,478,0009      ,五矿经易  ,5455,353,
5,0081      ,海通期货  ,4346,-328,0272      ,银河期货  ,4329,81,0049      ,金瑞期货  ,5209,-84,
6,0025      ,铜冠金源  ,3994,-469,0157      ,中国国际  ,3215,134,0047      ,迈科期货  ,5043,-6,
7,0082      ,国投安信  ,3991,-2870,0159      ,倍特期货  ,3183,-5,0058      ,国贸期货  ,4725,235,
8,0311      ,兴证期货  ,3042,-214,0315      ,云晨期货  ,2855,-16,0240      ,广发期货  ,4596,190,
9,0385      ,国富期货  ,2902,-1666,0137      ,宏源期货  ,2817,-76,0169      ,兴业期货  ,4119,284,
10,0308      ,国信期货  ,2651,145,0031      ,中航期货  ,2779,198,0103      ,永安期货  ,4004,-57,
11,0096      ,南华期货  ,2307,658,0096      ,南华期货  ,2318,293,0003      ,建信期货  ,3804,9,
12,0320      ,大有期货  ,2270,-39,0025      ,铜冠金源  ,2283,57,0025      ,铜冠金源  ,3118,415,
13,0095      ,国金期货  ,1936,1610,0253      ,华泰期货  ,2061,-152,0272      ,银河期货  ,2752,-294,
14,0272      ,银河期货  ,1901,-1344,0169      ,兴业期货  ,2022,-31,0121      ,格林大华  ,2499,-12,
15,0004      ,国泰君安  ,1893,-1519,0081      ,海通期货  ,2021,487,0253      ,华泰期货  ,2405,-295,
16,0169      ,兴业期货  ,1799,570,0034      ,方正中期  ,1946,-3,0077      ,新湖期货  ,2111,-231,
17,0034      ,方正中期  ,1553,-901,0003      ,建信期货  ,1887,-47,0008      ,上海中期  ,1762,439,
18,0274      ,中辉期货  ,1412,-2128,0069      ,申万期货  ,1856,17,0299      ,华安期货  ,1702,-124,
19,0103      ,永安期货  ,1377,-1356,0058      ,国贸期货  ,1828,75,0059      ,瑞达期货  ,1599,171,
20,0240      ,广发期货  ,1343,-390,0136      ,信达期货  ,1718,-60,0268      ,中信建投  ,1592,159,
合计:cu1912                        ,,,82084,-22985,,,68587,914,,,85242,1755,
RANK1合约代码:cu2001                        ,,,,,,,,,,
1,0163      ,东证期货  ,5033,-38,0049      ,金瑞期货  ,5990,-67,0003      ,建信期货  ,4546,0,
2,0253      ,华泰期货  ,3193,-255,0315      ,云晨期货  ,4336,0,0082      ,国投安信  ,3844,-2,
3,0148      ,中信期货  ,1918,315,0004      ,国泰君安  ,3205,727,0049      ,金瑞期货  ,3436,2,
4,0009      ,五矿经易  ,1826,-416,0025      ,铜冠金源  ,2580,191,0009      ,五矿经易  ,2877,11,
5,0385      ,国富期货  ,1297,-20,0031      ,中航期货  ,2027,101,0148      ,中信期货  ,2351,555,
6,0025      ,铜冠金源  ,1168,-447,0095      ,国金期货  ,2012,-1,0272      ,银河期货  ,1828,334,
7,0308      ,国信期货  ,1142,157,0148      ,中信期货  ,1951,261,0058      ,国贸期货  ,1721,105,
8,0004      ,国泰君安  ,1021,54,0103      ,永安期货  ,1922,249,0121      ,格林大华  ,1673,-1,
9,0272      ,银河期货  ,976,170,0096      ,南华期货  ,1330,24,0169      ,兴业期货  ,1492,-210,
10,0016      ,上海大陆  ,928,895,0034      ,方正中期  ,1287,25,0047      ,迈科期货  ,1413,-2,
11,0082      ,国投安信  ,713,-750,0081      ,海通期货  ,1275,-4,0025      ,铜冠金源  ,1370,-15,
12,0320      ,大有期货  ,647,331,0272      ,银河期货  ,1174,-4,0088      ,东亚期货  ,1200,0,
13,0298      ,东方财富  ,599,40,0178      ,弘业期货  ,925,6,0051      ,华金期货  ,1161,-105,
14,0274      ,中辉期货  ,592,-16,0253      ,华泰期货  ,867,201,0259      ,华闻期货  ,1141,-31,
15,0338      ,广州期货  ,484,49,0077      ,新湖期货  ,606,-1,0004      ,国泰君安  ,1086,-12,
16,0103      ,永安期货  ,399,298,0139      ,中粮期货  ,578,-3,0372      ,中银国际  ,1071,88,
17,0081      ,海通期货  ,356,-9,0169      ,兴业期货  ,578,5,0016      ,上海大陆  ,950,920,
18,0319      ,西部期货  ,347,61,0047      ,迈科期货  ,555,75,0103      ,永安期货  ,747,12,
19,0069      ,申万期货  ,337,9,0125      ,中大期货  ,555,0,0240      ,广发期货  ,733,110,
20,0003      ,建信期货  ,313,249,0268      ,中信建投  ,525,-4,0028      ,通惠期货  ,600,0,
合计:cu2001                        ,,,23289,677,,,34278,1781,,,35240,1759,
RANK1合约代码:cu2002                        ,,,,,,,,,,
1,0163      ,东证期货  ,1126,-254,0081      ,海通期货  ,899,29,0003      ,建信期货  ,2180,0,
2,0272      ,银河期货  ,924,754,0268      ,中信建投  ,853,2,0049      ,金瑞期货  ,1831,0,
3,0148      ,中信期货  ,674,84,0240      ,广发期货  ,789,170,0009      ,五矿经易  ,1449,-101,
4,0253      ,华泰期货  ,562,-35,0315      ,云晨期货  ,769,0,0051      ,华金期货  ,1316,107,
5,0385      ,国富期货  ,540,-123,0186      ,徽商期货  ,662,7,0088      ,东亚期货  ,1282,0,
6,0082      ,国投安信  ,510,55,0002      ,中钢期货  ,623,122,0096      ,南华期货  ,939,443,
7,0096      ,南华期货  ,495,481,0049      ,金瑞期货  ,559,-8,0272      ,银河期货  ,837,804,
8,0298      ,东方财富  ,325,228,0272      ,银河期货  ,535,34,0169      ,兴业期货  ,662,102,
9,0274      ,中辉期货  ,259,-62,0077      ,新湖期货  ,531,82,0059      ,瑞达期货  ,631,4,
10,0034      ,方正中期  ,224,-77,0001      ,招金期货  ,529,23,0047      ,迈科期货  ,602,0,
11,0081      ,海通期货  ,211,-601,0031      ,中航期货  ,519,0,0081      ,海通期货  ,507,0,
12,0308      ,国信期货  ,203,-7,0034      ,方正中期  ,422,1,0004      ,国泰君安  ,476,0,
13,0009      ,五矿经易  ,196,-14,0019      ,宝城期货  ,402,2,0274      ,中辉期货  ,438,11,
14,0240      ,广发期货  ,170,77,0096      ,南华期货  ,361,-2,0139      ,中粮期货  ,331,89,
15,0025      ,铜冠金源  ,131,-89,0025      ,铜冠金源  ,357,22,0137      ,宏源期货  ,222,-1,
16,0002      ,中钢期货  ,124,-80,0338      ,广州期货  ,272,98,0058      ,国贸期货  ,183,65,
17,0338      ,广州期货  ,116,111,0137      ,宏源期货  ,270,0,0148      ,中信期货  ,159,-13,
18,0319      ,西部期货  ,110,18,0148      ,中信期货  ,256,-11,0025      ,铜冠金源  ,134,5,
19,0051      ,华金期货  ,107,7,0047      ,迈科期货  ,254,0,0082      ,国投安信  ,103,-14,
20,0169      ,兴业期货  ,107,29,0253      ,华泰期货  ,248,105,0121      ,格林大华  ,90,-11,
合计:cu2002                        ,,,7114,502,,,10110,676,,,14372,1490,
商品名称:铝                  ,合约代码:alall                         ,,,,,,,,,
,期货公司  ,期货公司  ,255914,-43158,期货公司  ,期货公司  ,328221,-5185,期货公司  ,期货公司  ,329702,-5185,
商品名称:铝                  ,合约代码:alall                         ,,,,,,,,,
,非期货公司,非期货公司,0,-10,非期货公司,非期货公司,1886,0,非期货公司,非期货公司,405,0,
RANK1合约代码:al1910                        ,,,,,,,,,,
1,0157      ,中国国际  ,2715,1010,0315      ,云晨期货  ,2835,-215,0047      ,迈科期货  ,2260,0,
2,0116      ,首创期货  ,2365,1750,0308      ,国信期货  ,2000,-380,0315      ,云晨期货  ,1925,0,
3,0315      ,云晨期货  ,2215,-4180,0157      ,中国国际  ,1000,1000,0003      ,建信期货  ,1435,20,
4,0139      ,中粮期货  ,1780,1280,0275      ,鲁证期货  ,985,155,0148      ,中信期货  ,1210,-180,
5,0029      ,国海良时  ,1450,1450,0116      ,首创期货  ,465,-115,0004      ,国泰君安  ,600,0,
6,0081      ,海通期货  ,1155,420,0139      ,中粮期货  ,360,-255,0157      ,中国国际  ,575,-1715,
7,0034      ,方正中期  ,1140,-195,0029      ,国海良时  ,260,260,0249      ,先融期货  ,375,0,
8,0275      ,鲁证期货  ,815,705,0349      ,德盛期货  ,230,230,0139      ,中粮期货  ,225,-1505,
9,0277      ,一德期货  ,700,340,0082      ,国投安信  ,200,0,0137      ,宏源期货  ,210,25,
10,0271      ,渤海期货  ,670,670,0089      ,金元期货  ,200,-85,0009      ,五矿经易  ,200,-205,
11,0240      ,广发期货  ,600,600,0034      ,方正中期  ,125,-1010,0159      ,倍特期货  ,5,0,
12,0095      ,国金期货  ,575,445,0298      ,东方财富  ,95,0,0161      ,招商期货  ,5,0,
13,0249      ,先融期货  ,405,150,0095      ,国金期货  ,60,60,,,,,
14,0308      ,国信期货  ,380,380,0177      ,大地期货  ,60,60,,,,,
15,0096      ,南华期货  ,320,285,0008      ,上海中期  ,50,0,,,,,
16,0049      ,金瑞期货  ,315,-520,0003      ,建信期货  ,40,-45,,,,,
17,0103      ,永安期货  ,290,-1050,0320      ,大有期货  ,20,-220,,,,,
18,0048      ,长江期货  ,250,-20,0096      ,南华期货  ,15,-320,,,,,
19,0349      ,德盛期货  ,240,240,0253      ,华泰期货  ,10,0,,,,,
20,0009      ,五矿经易  ,235,-520,0013      ,中融汇信  ,5,0,,,,,
合计:al1910                        ,,,18615,3240,,,9015,-880,,,9025,-3560,
RANK1合约代码:al1911                        ,,,,,,,,,,
1,0081      ,海通期货  ,17245,-5079,0116      ,首创期货  ,5852,590,0148      ,中信期货  ,14347,-271,
2,0163      ,东证期货  ,6405,-4583,0103      ,永安期货  ,4982,-85,0082      ,国投安信  ,7493,794,
3,0148      ,中信期货  ,5424,-2109,0148      ,中信期货  ,4731,-259,0139      ,中粮期货  ,5803,159,
4,0274      ,中辉期货  ,5033,-20,0034      ,方正中期  ,4362,-92,0042      ,光大期货  ,4603,31,
5,0315      ,云晨期货  ,4675,2740,0308      ,国信期货  ,4207,-207,0003      ,建信期货  ,3215,18,
6,0082      ,国投安信  ,3681,-1139,0096      ,南华期货  ,3577,-670,0240      ,广发期货  ,2701,-39,
7,0157      ,中国国际  ,3332,2870,0009      ,五矿经易  ,3122,343,0275      ,鲁证期货  ,2652,-90,
8,0253      ,华泰期货  ,2659,-3121,0253      ,华泰期货  ,2992,97,0157      ,中国国际  ,2574,-1745,
9,0029      ,国海良时  ,2553,2404,0272      ,银河期货  ,2908,-252,0081      ,海通期货  ,2533,-329,
10,0139      ,中粮期货  ,2033,-137,0047      ,迈科期货  ,2840,-833,0308      ,国信期货  ,2224,-179,
11,0277      ,一德期货  ,2026,-77,0049      ,金瑞期货  ,2814,-211,0299      ,华安期货  ,2203,725,
12,0311      ,兴证期货  ,1765,-3293,0275      ,鲁证期货  ,2139,-511,0137      ,宏源期货  ,2076,200,
13,0069      ,申万期货  ,1706,-617,0008      ,上海中期  ,2097,-6,0096      ,南华期货  ,1932,-218,
14,0123      ,浙商期货  ,1702,1398,0139      ,中粮期货  ,1967,50,0315      ,云晨期货  ,1826,-1541,
15,0034      ,方正中期  ,1401,-3135,0077      ,新湖期货  ,1668,-260,0253      ,华泰期货  ,1435,-202,
16,0009      ,五矿经易  ,1394,-1062,0240      ,广发期货  ,1654,-88,0004      ,国泰君安  ,1418,184,
17,0049      ,金瑞期货  ,1390,-489,0003      ,建信期货  ,1559,-37,0277      ,一德期货  ,1387,-260,
18,0308      ,国信期货  ,1314,-797,0157      ,中国国际  ,1504,1183,0163      ,东证期货  ,1318,-20,
19,0096      ,南华期货  ,1202,459,0004      ,国泰君安  ,1471,-35,0103      ,永安期货  ,1164,27,
20,0272      ,银河期货  ,1153,-811,0315      ,云晨期货  ,1429,1098,0385      ,国富期货  ,1135,18,
合计:al1911                        ,,,68093,-16598,,,57875,-185,,,64039,-2738,
RANK1合约代码:al1912                        ,,,,,,,,,,
1,0081      ,海通期货  ,9305,-2566,0136      ,信达期货  ,6141,64,0148      ,中信期货  ,23036,2058,
2,0274      ,中辉期货  ,7658,901,0103      ,永安期货  ,6021,50,0082      ,国投安信  ,7268,-1182,
3,0163      ,东证期货  ,7198,610,0049      ,金瑞期货  ,5943,-321,0139      ,中粮期货  ,6490,-978,
4,0148      ,中信期货  ,5398,-1238,0308      ,国信期货  ,5225,259,0332      ,华信期货  ,5720,-341,
5,0385      ,国富期货  ,4442,-1638,0148      ,中信期货  ,5120,-720,0116      ,首创期货  ,5658,5,
6,0082      ,国投安信  ,4094,1699,0240      ,广发期货  ,4948,-56,0315      ,云晨期货  ,5186,0,
7,0308      ,国信期货  ,3601,1491,0081      ,海通期货  ,4839,419,0004      ,国泰君安  ,5036,22,
8,0069      ,申万期货  ,2747,-654,0139      ,中粮期货  ,4552,190,0103      ,永安期货  ,4411,544,
9,0253      ,华泰期货  ,2688,-1878,0272      ,银河期货  ,4295,-129,0136      ,信达期货  ,2476,454,
10,0052      ,山金期货  ,2456,889,0008      ,上海中期  ,4051,185,0042      ,光大期货  ,2440,297,
11,0034      ,方正中期  ,2392,-3250,0253      ,华泰期货  ,3929,-388,0271      ,渤海期货  ,2401,19,
12,0004      ,国泰君安  ,2075,-265,0277      ,一德期货  ,2946,689,0034      ,方正中期  ,2243,-264,
13,0018      ,国联期货  ,2048,143,0299      ,华安期货  ,2819,-114,0240      ,广发期货  ,1966,348,
14,0315      ,云晨期货  ,1869,1857,0034      ,方正中期  ,2716,-84,0253      ,华泰期货  ,1905,860,
15,0137      ,宏源期货  ,1668,912,0004      ,国泰君安  ,2383,-47,0277      ,一德期货  ,1774,-207,
16,0277      ,一德期货  ,1620,766,0169      ,兴业期货  ,2225,0,0008      ,上海中期  ,1678,-46,
17,0009      ,五矿经易  ,1513,-1446,0159      ,倍特期货  ,1964,-473,0029      ,国海良时  ,1656,61,
18,0139      ,中粮期货  ,1328,964,0047      ,迈科期货  ,1770,890,0299      ,华安期货  ,1613,152,
19,0096      ,南华期货  ,1261,133,0082      ,国投安信  ,1741,154,0275      ,鲁证期货  ,1607,250,
20,0259      ,华闻期货  ,1191,315,0268      ,中信建投  ,1602,139,0157      ,中国国际  ,1590,-370,
合计:al1912                        ,,,66552,-2255,,,75230,707,,,86154,1682,
RANK1合约代码:al2001                        ,,,,,,,,,,
1,0081      ,海通期货  ,4531,-1984,0253      ,华泰期货  ,4774,-19,0148      ,中信期货  ,6279,404,
2,0163      ,东证期货  ,2869,372,0169      ,兴业期货  ,4199,0,0116      ,首创期货  ,4499,-35,
3,0274      ,中辉期货  ,2783,172,0029      ,国海良时  ,3574,123,0332      ,华信期货  ,4072,335,
4,0082      ,国投安信  ,2333,1856,0136      ,信达期货  ,3504,-3,0163      ,东证期货  ,2904,-30,
5,0385      ,国富期货  ,2282,550,0049      ,金瑞期货  ,3245,2,0059      ,瑞达期货  ,2759,0,
6,0069      ,申万期货  ,2101,-1224,0139      ,中粮期货  ,2902,18,0082      ,国投安信  ,2664,1512,
7,0034      ,方正中期  ,1626,82,0003      ,建信期货  ,2866,9,0003      ,建信期货  ,2443,21,
8,0148      ,中信期货  ,1454,-1450,0009      ,五矿经易  ,2704,-4,0004      ,国泰君安  ,2232,-47,
9,0008      ,上海中期  ,1291,647,0096      ,南华期货  ,2399,27,0081      ,海通期货  ,1880,-231,
10,0262      ,英大期货  ,1154,674,0103      ,永安期货  ,1938,166,0275      ,鲁证期货  ,1857,-141,
11,0253      ,华泰期货  ,914,-1538,0008      ,上海中期  ,1755,-293,0008      ,上海中期  ,1808,74,
12,0308      ,国信期货  ,857,68,0306      ,红塔期货  ,1602,0,0049      ,金瑞期货  ,1564,-1,
13,0009      ,五矿经易  ,839,-198,0163      ,东证期货  ,1472,61,0034      ,方正中期  ,1483,-888,
14,0271      ,渤海期货  ,748,643,0308      ,国信期货  ,1459,93,0137      ,宏源期货  ,1452,-10,
15,0240      ,广发期货  ,627,608,0069      ,申万期货  ,1322,-288,0270      ,前海期货  ,1359,-2,
16,0159      ,倍特期货  ,624,376,0081      ,海通期货  ,1244,18,0253      ,华泰期货  ,1317,27,
17,0299      ,华安期货  ,573,461,0047      ,迈科期货  ,1172,40,0103      ,永安期货  ,1267,6,
18,0272      ,银河期货  ,537,-419,0077      ,新湖期货  ,1091,11,0315      ,云晨期货  ,1233,0,
19,0096      ,南华期货  ,523,187,0137      ,宏源期货  ,1002,-17,0268      ,中信建投  ,1098,-48,
20,0277      ,一德期货  ,445,-96,0272      ,银河期货  ,987,-45,0009      ,五矿经易  ,1036,-47,
合计:al2001                        ,,,29111,-213,,,45211,-101,,,45206,899,
RANK1合约代码:al2002                        ,,,,,,,,,,
1,0069      ,申万期货  ,1103,-341,0308      ,国信期货  ,3805,0,0148      ,中信期货  ,6098,527,
2,0148      ,中信期货  ,898,-603,0136      ,信达期货  ,2947,0,0003      ,建信期货  ,2080,-5,
3,0163      ,东证期货  ,780,716,0103      ,永安期货  ,2800,0,0253      ,华泰期货  ,1945,28,
4,0274      ,中辉期货  ,511,-130,0139      ,中粮期货  ,2719,20,0077      ,新湖期货  ,1490,0,
5,0272      ,银河期货  ,351,-62,0148      ,中信期货  ,2659,5,0034      ,方正中期  ,1365,-79,
